BenchMark,Units,Methods,Score,ErrorMargin,Diff
ArrayRemoveFirst,1000,RemoveFirst,"2943,903","1278,874","1665,029"
ArrayRemoveFirst,100000,RemoveFirst,"32,538","1,992","30,546"
ArrayRemoveFirst,1000000,RemoveFirst,"2,53","0,895","1,635"
LinkedRemoveFirst,1000,RemoveFirst,"56273,427","872,187","55401,24"
LinkedRemoveFirst,100000,RemoveFirst,"71231,238","8369,675","62861,563"
LinkedRemoveFirst,1000000,RemoveFirst,"45801,207","23800,181","22001,026"
ArrayRemoveLast,1000,RemoveLast,"23110,143","3727,771","19382,372"
ArrayRemoveLast,100000,RemoveLast,"23852,73","7267,502","16585,228"
ArrayRemoveLast,1000000,RemoveLast,"21747,821","5298,387","16449,434"
LinkedRemoveLast,1000,RemoveLast,"46794,441","7979,762","38814,679"
LinkedRemoveLast,100000,RemoveLast,"49223,631","13417,598","35806,033"
LinkedRemoveLast,1000000,RemoveLast,"48631,431","19795,112","28836,319"
ListOperationBenchmark.copyingArray,1000,copyingArray,"592,607","123,449","469,158"
ListOperationBenchmark.copyingArray,100000,copyingArray,"6,814","0,848","5,966"
ListOperationBenchmark.copyingArray,1000000,copyingArray,"0,091","0,062","0,029"
ListOperationBenchmark.copyingLinkedList,1000,copyingArray,"133,201","35,383","97,818"
ListOperationBenchmark.copyingLinkedList,100000,copyingArray,"0,933","0,228","0,705"
ListOperationBenchmark.copyingLinkedList,1000000,copyingArray,"0,036","0,01","0,026"
acessandoArrayContains,1000,Contains ,"2918,513","856,175","2062,338"
acessandoArrayContains,100000,Contains ,"3099,179","411,77","2687,409"
acessandoArrayContains,1000000,Contains ,"2917,845","265,702","2652,143"
acessandoArrayIndexOf,1000,IndexOf   ,"2912,592","1194,455","1718,137"
acessandoArrayIndexOf,100000,IndexOf   ,"3144,356","407,999","2736,357"
acessandoArrayIndexOf,1000000,IndexOf   ,"2995,639","444,858","2550,781"
acessandoLinkedContains,1000,Contains ,"1193,471","148,966","1044,505"
acessandoLinkedContains,100000,Contains ,"1289,359","161,649","1127,71"
acessandoLinkedContains,1000000,Contains ,"1286,305","106,01","1180,295"
acessandoLinkedIndexOf,1000,IndexOf   ,"1213,833","174,973","1038,86"
acessandoLinkedIndexOf,100000,IndexOf   ,"1282,943","132,847","1150,096"
acessandoLinkedIndexOf,1000000,IndexOf   ,"1244,467","188,497","1055,97"
buscandoElementosInexistenteArray,1000,ElementosInexistente,"1198,612","258,926","939,686"
buscandoElementosInexistenteArray,100000,ElementosInexistente,"12,566","0,958","11,608"
buscandoElementosInexistenteArray,1000000,ElementosInexistente,"0,489","0,041","0,448"
buscandoElementosInexistenteLinked,1000,ElementosInexistente,"1236,724","131,685","1105,039"
buscandoElementosInexistenteLinked,100000,ElementosInexistente,"12,73","1,6","11,13"
buscandoElementosInexistenteLinked,1000000,ElementosInexistente,"0,476","0,161","0,315"
