Benchmark,Units,Score,ErrorMargin,Diff,Methods
arrayRemoveFirst,1000,"231,554","109,928","121,626",RemoveFirst
arrayRemoveFirst,100000,"25285,864","1769,101","23516,763",RemoveFirst
arrayRemoveFirst,1000000,"2055569,143","889921,847","1165647,296",RemoveFirst
arrayRemoveLast,1000,"42,132","6,746","35,386",RemoveLast
arrayRemoveLast,100000,"549,445","884,557","-335,112",RemoveLast
arrayRemoveLast,1000000,"6047,985","1134,863","4913,122",RemoveLast
arrayRemoveMiddle,1000,"168,37","60,638","107,732",RemoveMiddle
arrayRemoveMiddle,100000,"11650,469","1775,465","9875,004",RemoveMiddle
arrayRemoveMiddle,1000000,"1074605,492","371487,5","703117,992",RemoveMiddle
linkedRemoveFirst,1000,"66,469","30,275","36,194",RemoveFirst
linkedRemoveFirst,100000,"495,19","110,495","384,695",RemoveFirst
linkedRemoveFirst,1000000,"7308,038","1896,234","5411,804",RemoveFirst
linkedRemoveLast,1000,"44,256","9,021","35,235",RemoveLast
linkedRemoveLast,100000,"376,436","448,427","-71,991",RemoveLast
linkedRemoveLast,1000000,"5419,064","1479,762","3939,302",RemoveLast
linkedRemoveMiddle,1000,"1179,945","571,314","608,631",RemoveMiddle
linkedRemoveMiddle,100000,"328593,798","22736,567","305857,231",RemoveMiddle
linkedRemoveMiddle,1000000,"3051920,048","345842,144","2706077,904",RemoveMiddle
