Benchmark,Units,Score,ErrorMargin,Diff,Methods
acessandoArrayContains,1000,"336,204","17,38","318,824",Contains
acessandoArrayContains,100000,"303,133","26,963","276,17",Contains
acessandoArrayContains,1000000,"405,583","320,388","85,195",Contains
acessandoArrayIndexOf,1000,"390,887","124,75","266,137",IndexOf
acessandoArrayIndexOf,100000,"397,091","95,231","301,86",IndexOf
acessandoArrayIndexOf,1000000,"349,666","45,449","304,217",IndexOf
acessandoLinkedContains,1000,"812,216","96,579","715,637",Contains
acessandoLinkedContains,100000,"771,409","46,043","725,366",Contains
acessandoLinkedContains,1000000,"874,498","227,717","646,781",Contains
acessandoLinkedIndexOf,1000,"817,609","85,61","731,999",IndexOf
acessandoLinkedIndexOf,100000,"787,023","112,396","674,627",IndexOf
acessandoLinkedIndexOf,1000000,"783,816","100,729","683,087",IndexOf
buscandoElementosInexistenteArray,1000,"832,629","116,402","716,227",Inexistente
buscandoElementosInexistenteArray,100000,"81245,755","14966,819","66278,936",Inexistente
buscandoElementosInexistenteArray,1000000,"2075520,244","101291,148","1974229,096",Inexistente
buscandoElementosInexistenteLinked,1000,"799,331","44,397","754,934",Inexistente
buscandoElementosInexistenteLinked,100000,"81823,544","26539,483","55284,061",Inexistente
buscandoElementosInexistenteLinked,1000000,"2156242,095","274455,787","1881786,308",Inexistente
